variable,panel,T_K,w_m_s,continuation_value,digitized_value,signed_relative_error,absolute_error
n,number_concentration,190.0,0.0135001899390786,26365.683921950564,26366.508987303558,-3.129217271013343e-05,0.8250653529939882
n,number_concentration,190.0,0.0139373633847133,27214.911336372723,27114.298980653104,0.0037106751604166067,100.61235571961879
n,number_concentration,190.0,0.0143886937142461,28091.493218448035,28144.44653112492,-0.0018814835324021304,52.9533126768838
n,number_concentration,190.0,0.0149337509201931,29149.92198802052,29213.73224911862,-0.0021842556970797736,63.810261098100455
n,number_concentration,190.0,0.0154173470307288,30088.832346588883,30042.27335991952,0.001549782405331504,46.55898666936264
n,number_concentration,190.0,0.0159166033192985,31057.986039635005,31038.65073504035,0.0006229428192516482,19.33530459465328
n,number_concentration,190.0,0.0164320269057295,32058.357146356448,32068.07380752773,-0.00030300108542849165,9.716661171281885
n,number_concentration,190.0,0.01696414133179,33090.951249754005,33286.42902684376,-0.00587259681511987,195.47777708975627
n,number_concentration,190.0,0.0176067589077303,34337.75751520682,34230.47734786335,0.0031340540844126555,107.28016734346602
n,number_concentration,190.0,0.0181769144013113,35443.7738218375,35530.98828552556,-0.002454602810009195,87.21446368805482
n,number_concentration,190.0,0.0187655331048768,36585.41620909907,36538.69535461568,0.0012786678350159022,46.72085448339203
n,number_concentration,190.0,0.0193732129081724,37763.83251420431,37750.53205324392,0.0003523251259513222,13.300460960388591
n,number_concentration,190.0,0.0201070883737048,39186.71185377366,39002.56033971867,0.004721523726929702,184.1515140549891
n,number_concentration,190.0,0.020758211442764,40448.919212012755,40108.72590570611,0.008481777932972145,340.19330630664626
n,number_concentration,190.0,0.0214304196755814,41751.78421851406,41632.56783773579,0.0028635365765311504,119.21638077827083
n,number_concentration,190.0,0.0221243958680091,43096.61630927183,43214.30475848366,-0.002723367872503589,117.68844921183336
n,number_concentration,190.0,0.0229624887230362,44720.43473963178,44856.13625942202,-0.003025261003431441,135.7015197902365
n,number_concentration,190.0,0.0237060775436898,46160.89161202051,46128.31718603869,0.0007061698316556611,32.57442598182388
n,number_concentration,190.0,0.0244737458245826,47647.747777176366,47436.57889100631,0.004451604460246806,211.16888617005316
n,number_concentration,190.0,0.0252662733251588,49182.497883757715,49238.82631706742,-0.0011439840776663413,56.32843330970354
n,number_concentration,190.0,0.0260844650556274,50766.68493903977,50635.30628420706,0.002594605710397136,131.37865483271162
n,number_concentration,190.0,0.027072569043675,52679.51326897881,52559.08225102387,0.0022913455257790316,120.43101795493567
n,number_concentration,190.0,0.0279492536195527,54376.34505307608,54049.729184445154,0.006042877060796157,326.61586863092816
n,number_concentration,190.0,0.0288543276639119,56127.8349905249,56103.22856360127,0.00043859199467879723,24.60642692363035
n,number_concentration,190.0,0.0297887105061704,57935.74359059052,57694.39229842333,0.004183271242702547,241.3512921671936
n,number_concentration,190.0,0.0309171347842674,60118.704863383115,60447.24588814256,-0.0054351694594558094,328.5410247594482
n,number_concentration,190.0,0.0319183170197608,62055.166970049366,63331.45024843984,-0.020152440428630722,1276.2832783904742
n,number_concentration,190.0,0.0329519203018895,64054.00621034694,66353.27270315538,-0.03465189280255503,2299.2664928084414
n,number_concentration,190.0,0.0340189945137092,66117.23191429427,65431.89129712969,0.010474106793771492,685.3406171645838
n,number_concentration,190.0,0.0353076659155064,68608.47695170852,68553.93504633379,0.0007956057568083939,54.54190537473187
n,number_concentration,190.0,0.03645102567824,70818.41160817558,70170.38286703837,0.0092350748942773,648.0287411372119
n,number_concentration,190.0,0.0376314105887181,73099.53279944503,73176.64087948964,-0.001053725329802879,77.10808004460705
n,number_concentration,190.0,0.0388500196235099,75454.13391046376,74553.77447774647,0.012076644529728517,900.3594327172905
n,number_concentration,190.0,0.0403216947850995,78297.20111232538,78111.0634537115,0.002382987126070616,186.13765861387947
n,number_concentration,190.0,0.0416274226543059,80819.23053006707,80701.6828598893,0.0014565702475107885,117.54767017776612
n,number_concentration,190.0,0.0429754335991,83422.50045583765,82604.56501097066,0.009901818921973156,817.935444866991
n,number_concentration,190.0,0.0443670968622798,86109.62781539594,84552.31562516934,0.018418326910529016,1557.3121902265993
n,number_concentration,190.0,0.045803826026508,88883.31373494826,88586.67904100832,0.003348524825076916,296.6346939399373
n,number_concentration,190.0,0.0475389178931847,92232.40621031063,91952.33309991071,0.0030458510508439207,280.0731103999133
n,number_concentration,190.0,0.0490783593848153,95203.32182325446,95002.00990674512,0.0021190279732707477,201.3119165093376
n,number_concentration,190.0,0.0506676522447811,98269.93784570077,98152.83182118696,0.0011930987862596623,117.10602451380691
n,number_concentration,190.0,0.0523084107981076,101435.33724148019,100467.1983267144,0.009636368196686942,968.1389147657901
n,number_concentration,190.0,0.0542899024333708,105257.40602399436,104771.44048156386,0.004638339801350945,485.96554243050923
n,number_concentration,190.0,0.0560479594545739,108647.8899359151,107241.86856893824,0.013110750360275794,1406.0213669768564
n,number_concentration,190.0,0.0578629472189035,112147.59035957779,111836.35292947693,0.0027829719223509673,311.23743010086764
n,number_concentration,190.0,0.059736709301098,115760.02588644116,115545.5000515993,0.0018566351328788775,214.52583484185743
n,number_concentration,190.0,0.061999591846988,120121.86931020772,118822.52731208176,0.010935148641581276,1299.341998125965
n,number_concentration,190.0,0.0640073099100678,123991.17813320587,122763.37680939026,0.01000136486732497,1227.8013238156127
n,number_concentration,190.0,0.0660800434305197,127985.12853690876,128022.837711408,-0.0002945503722098025,37.709174499250366
n,number_concentration,190.0,0.0682198977884642,132107.73527937094,131041.51544127362,0.00813650417966324,1066.2198380973277
n,number_concentration,190.0,0.0708041314664494,137085.58733219368,135387.61800225446,0.012541540762693303,1697.9693299392238
n,number_concentration,190.0,0.0730969648456868,141501.34669801,141187.92996830415,0.002219854981769369,313.4167297058448
n,number_concentration,190.0,0.0754640465038884,146059.35060834663,145870.54693857126,0.0012943234514290205,188.8036697753705
n,number_concentration,190.0,0.0779077808054444,150764.18134990928,150708.46685644277,0.0003696838978501643,55.71449346651207
n,number_concentration,190.0,0.0804306499747057,155620.56986097773,152830.6732658769,0.01825482107408706,2789.896595100843
n,number_concentration,190.0,0.0834774383919411,161484.42947369465,160870.9893779057,0.003813242512905162,613.4400957889447
n,number_concentration,190.0,0.0861806684604996,166686.15010130758,165433.50905523417,0.007571870132157918,1252.6410460734041
n,number_concentration,190.0,0.0889714365865779,172055.43540700016,171718.7876914555,0.0019604594236335817,336.64771554464824
n,number_concentration,190.0,0.0918525774943097,177597.68244411942,177413.98634999682,0.001035409315250991,183.69609412259888
n,number_concentration,190.0,0.095332039232974,184289.6851044259,183298.07108324376,0.005409844278894849,991.6140211821476
n,number_concentration,190.0,0.0984191540260945,190226.03796474333,188496.6532475457,0.00917461762531394,1729.384717197623
n,number_concentration,190.0,0.1088701076528799,210315.7018438396,210807.7823861775,-0.0023342617467341253,492.0805423379061
n,number_concentration,190.0,0.1123956225014869,217090.44142149584,214775.03855438763,0.010780595746567048,2315.402867108205
n,number_concentration,190.0,0.1160353032604223,224083.41883288554,222934.93898283545,0.005151636864504745,1148.479850050091
n,number_concentration,190.0,0.1197928469372556,231301.6658300144,230328.7645653824,0.004223967711839271,972.9012646320043
n,number_concentration,190.0,0.1243307122738017,240017.36280732416,240196.57012210504,-0.0007460860689633633,179.2073147808842
n,number_concentration,190.0,0.1283568842112516,247748.89897553035,247008.8709716666,0.0029959571935723847,740.0280038637575
n,number_concentration,190.0,0.1325134347186739,255729.49765530095,255201.12884582137,0.0020704015372862692,528.3688094795798
n,number_concentration,190.0,0.1368045858143461,263967.18072341266,261218.5705621191,0.010522261703594793,2748.61016129356
n,number_concentration,190.0,0.1412346962371609,272470.2301228029,271142.989806531,0.004894982965331045,1327.2403162718983
n,number_concentration,190.0,0.1465847989249109,282737.2694648626,281444.4653112492,0.004593460923751639,1292.804153613397
n,number_concentration,190.0,0.1513316196669052,291844.9757813864,290778.8087622091,0.0036665911925143992,1066.1670191773446
n,number_concentration,190.0,0.1562321555780159,301246.0762432737,300422.73359919514,0.0027406136486894227,823.3426440785406
n,number_concentration,190.0,0.1612913843800699,310950.02365531004,308943.1302155374,0.006495996329073656,2006.8934397726553
n,number_concentration,190.0,0.167401253215938,322667.09347807703,320680.73807527724,0.006194183706579557,1986.3554027997889
n,number_concentration,190.0,0.1728221682550773,333061.096810166,329775.6792033605,0.009962583095096936,3285.4176068055094
n,number_concentration,190.0,0.1784186274989165,343789.93409672554,340712.9681923392,0.009030962104880485,3076.965904386365
n,number_concentration,190.0,0.1841963155537594,354864.39128488,353657.60046359134,0.0034123141131612465,1206.7908212886541
n,number_concentration,190.0,0.1911738446537124,368236.28913239663,368809.09246944985,-0.0015531160937976851,572.8033370532212
n,number_concentration,190.0,0.1973645818773852,380098.26536719355,379269.0190732254,0.0021864329862599967,829.2462939681718
n,number_concentration,190.0,0.2037557922747915,392342.36565421097,390025.6033971867,0.005940026082505659,2316.7622570242966
n,number_concentration,190.0,0.2103539677211208,404980.8998772296,401087.2590570611,0.009707715047648896,3893.6408201684826
n,number_concentration,190.0,0.21832237320552,420241.35364696657,416325.6783773579,0.009405317694719532,3915.675269608677
n,number_concentration,190.0,0.2253922547837882,433778.63557399384,432143.0475848366,0.0037848300425014896,1635.5879891572404
n,number_concentration,190.0,0.2326910786587019,447752.01193592395,444399.2111457807,0.00754456962580747,3352.8007901432575
n,number_concentration,190.0,0.2402262586142986,462175.5329076691,461283.1718603869,0.0019345189716833174,892.3610472821747
n,number_concentration,190.0,0.2480054485134242,477063.70094572415,478808.6011515864,-0.0036442540958236116,1744.9002058622427
n,number_concentration,190.0,0.257400127384969,495040.4864017624,490098.5310344294,0.010083595551495034,4941.955367333023
n,number_concentration,190.0,0.2657354545991424,510987.3826998021,508718.7358789359,0.004459530701078997,2268.646820866212
n,number_concentration,190.0,0.2743407027355516,527448.0023586274,525590.8225102387,0.003533508898649907,1857.1798483886523
n,number_concentration,190.0,0.2832246125793375,544438.893811588,543022.4861478866,0.0026083775531085297,1416.407663701335
n,number_concentration,190.0,0.2939534264003636,564954.6274327216,566286.798429274,-0.0023524669835982945,1332.1709965524497
n,number_concentration,190.0,0.3034724504182109,583153.7841086003,576943.9229842334,0.010763370367516099,6209.8611243669875
n,number_concentration,190.0,0.3132997267308585,601939.221055809,596078.7555812192,0.009831696600016145,5860.465474589728
n,number_concentration,190.0,0.3234452373991852,621329.8261268955,621616.1185226984,-0.00046056140964185636,286.29239580291323
n,number_concentration,190.0,0.3356976461914519,644743.1128101614,642232.5422229356,0.003909130139273379,2510.5705872258404
n,number_concentration,190.0,0.3465684633680443,665512.6396150448,663532.7270315537,0.0029838958996771733,1979.9125834910665
n,number_concentration,190.0,0.3577913076363589,686951.2547542235,682351.416065168,0.0067411579733810045,4599.838689055527
n,number_concentration,190.0,0.3693775786061308,709080.5161594597,701703.8286703837,0.010512537038672987,7376.687489076052
n,number_concentration,190.0,0.3833699475405802,735800.6062457361,735185.2092122444,0.0008370639476699427,615.397033491754
n,number_concentration,190.0,0.3957845255335894,759503.5485637593,756036.0599248739,0.004586406419860443,3467.4886388854356
n,number_concentration,190.0,0.4086011218583257,783970.0847443655,781110.634537115,0.0036607492982668813,2859.450207250542
n,number_concentration,190.0,0.4218327549789797,809224.8118538712,807016.828598893,0.0027359816756381693,2207.9832549782004
n,number_concentration,190.0,0.435492864933577,835293.1224497701,833782.2234717883,0.0018121026515659294,1510.898977981764
n,number_concentration,190.0,0.4519897428909923,866769.4508397258,865459.9266552386,0.0015130962672623375,1309.524184487178
n,number_concentration,190.0,0.46662641942539,894691.5758108799,894163.6362467862,0.0005904283541541887,527.9395640937146
n,number_concentration,190.0,0.4817370719810185,923513.2181889815,919523.3309991072,0.004339082060635809,3989.887189874309
n,number_concentration,190.0,0.4973370492108432,953263.3628973196,945602.2611260964,0.008101822601502464,7661.101771223242
n,number_concentration,190.0,0.5161766428418063,989185.34222644,986114.0020907834,0.0031145893163920177,3071.34013565653
n,number_concentration,190.0,0.5328918685183078,1021051.1355130146,1009365.7939619368,0.011576914554644041,11685.341551077785
n,number_concentration,190.0,0.5501483793794274,1053943.5037641828,1057527.082062095,-0.003388639741428131,3583.578297912143
n,number_concentration,190.0,0.5679637037347897,1087895.513606181,1077429.007844294,0.009714334481144327,10466.505761886947
n,number_concentration,190.0,0.5894787012449861,1128891.0651286838,1128837.8916846884,4.7104588167269624e-05,53.173443995416164
n,number_concentration,190.0,0.6085676500756693,1165257.5531414615,1166276.7539831153,-0.0008738927858872635,1019.2008416538592
n,number_concentration,190.0,0.6282747518043126,1202795.6074510713,1199353.9462092356,0.0028695959626544305,3441.6612418356817
n,number_concentration,190.0,0.6486200239294513,1241542.972095952,1239131.533026586,0.0019460719101190942,2411.4390693658497
n,number_concentration,190.0,0.6696241321715233,1281538.61223923,1274274.985703132,0.005700203345112238,7263.626536097843
n,number_concentration,190.0,0.6949901220080238,1329831.5944234678,1322688.2327535653,0.005400639011531421,7143.361669902457
n,number_concentration,190.0,0.7174958221271664,1372671.5148329586,1372940.833566933,-0.0001961619374919919,269.31873397435993
n,number_concentration,190.0,0.7407303189900518,1416891.562150632,1411879.2996830414,0.0035500644203196757,5012.262467590626
n,number_concentration,190.0,0.7647172130486036,1462536.195194698,1458705.4693857126,0.0026261132828949265,3830.7258089852985
n,number_concentration,190.0,0.7936854179295757,1517650.09177137,1514125.742918133,0.0023276460820516893,3524.3488532369956
n,number_concentration,190.0,0.819387144384694,1566540.753683484,1542620.5386274916,0.015506221042068311,23920.21505599236
n,number_concentration,190.0,0.8459211637456046,1617006.4734937772,1623776.7391887242,-0.004169456016674781,6770.265694946982
n,number_concentration,190.0,0.8733144279558762,1669097.9942094411,1669829.2521544572,-0.0004379237841668772,731.2579450160265
n,number_concentration,190.0,0.9063963971372432,1731996.2458469833,1733270.7047636723,-0.0007352913270768089,1274.4589166890364
n,number_concentration,190.0,0.9357480164726424,1787792.2871905363,1782428.6152558096,0.0030091931249414255,5363.671934726648
n,number_concentration,190.0,0.9660501223284328,1845385.8576040901,1850148.0305062984,-0.0025739415569386113,4762.172902208287
n,number_concentration,190.0,0.9973334940839436,1904834.8741743795,1884966.532475457,0.010540421464581702,19868.34169892245
n,number_concentration,190.0,1.103238550881602,2106021.9999139644,2108077.823861775,-0.0009752125488633605,2055.823947810568
n,number_concentration,190.0,1.1389644629482087,2173867.742889873,2167865.7731365548,0.002768607645220846,6001.969753318466
n,number_concentration,190.0,1.1758472787433616,2243899.225142437,2198392.6488622893,0.020699931062678135,45506.57628014777
n,number_concentration,190.0,1.220389475908742,2328459.2303158757,2314048.5669937427,0.006227467965745586,14410.663322133012
n,number_concentration,190.0,1.2599090585669872,2403471.101241503,2401965.7012210507,0.0006267366847440574,1505.4000204522163
n,number_concentration,190.0,1.3007083944878688,2480899.5867478424,2470088.709716666,0.00437671610280605,10810.877031176351
n,number_concentration,190.0,1.3428289256174573,2560822.5468876697,2552011.2884582137,0.003452672199886435,8811.258429456037
n,number_concentration,190.0,1.3936965440960674,2657326.113334398,2648969.287610529,0.0031547461735228232,8356.825723868795
n,number_concentration,190.0,1.4388282883975343,2742932.9349320163,2736824.591832825,0.002231908876228206,6108.343099191319
n,number_concentration,190.0,1.4854215232597132,2831297.721689568,2788329.7313507134,0.015409938737066108,42967.99033885449
n,number_concentration,190.0,1.5335235757844483,2922509.3366029016,2921373.224911862,0.00038889645504771057,1136.1116910395212
n,number_concentration,190.0,1.5916148863697417,3032643.46837875,3032364.3102356764,9.205956623730668e-05,279.15814307378605
n,number_concentration,190.0,1.6431557733600564,3130341.782312777,3118366.279190919,0.0038403131799402096,11975.503121857997
n,number_concentration,190.0,1.6963656966571408,3231187.6292717783,3206807.380752773,0.007602654485996032,24380.248519005254
n,number_concentration,190.0,1.7512987042674637,3335282.405467882,3328642.902684376,0.0019946575759602512,6639.502783505712
n,number_concentration,190.0,1.8176395408634591,3460972.434765794,3423047.734786335,0.011079220308280678,37924.699979458936
n,number_concentration,190.0,1.8764997305783524,3572470.171597504,3553098.828552556,0.005451957285646129,19371.343044947833
n,number_concentration,190.0,1.9372659758424249,3687560.0208400865,3653869.535461568,0.009220494889471421,33690.4853785187
n,number_concentration,210.0,0.0051619138129195,3681.895443253247,3757.498236437432,-0.020120513284888637,75.60279318418497
n,number_concentration,210.0,0.0053290708424018,3800.486039687985,3864.065988072255,-0.016454156989174407,63.57994838427021
n,number_concentration,210.0,0.0055016408782841,3922.896478459098,4010.872590570607,-0.021934407071004206,87.97611211150888
n,number_concentration,210.0,0.005710048192026,4070.700903603858,4124.626382901352,-0.013074027630973447,53.92547929749435
n,number_concentration,210.0,0.005894955326971,4201.815091520445,4281.332398719395,-0.01857302815888225,79.51730719895022
n,number_concentration,210.0,0.006085850265767,4337.152527072396,4402.756798419296,-0.014900725693150542,65.60427134689962
n,number_concentration,210.0,0.0062829269100445,4476.849263789345,4570.029761458133,-0.020389472833336114,93.18049766878812
n,number_concentration,210.0,0.0065209300710519,4645.526044029804,4743.657889100626,-0.02068695664084381,98.13184507082133
n,number_concentration,210.0,0.006732095801369,4795.155672240193,4878.194467418634,-0.017022444622299484,83.03879517844143
n,number_concentration,210.0,0.0069500996613969,4949.60498532662,5016.546685761422,-0.013344179697321202,66.94170043480153
n,number_concentration,210.0,0.0071751630886663,5109.029222690181,5207.13923192506,-0.018841441502728536,98.11000923487882
n,number_concentration,210.0,0.0074469649925077,5301.5259752489865,5404.972918444515,-0.01913921582151041,103.44694319552855
n,number_concentration,210.0,0.0076881182918307,5472.285865195215,5558.265288878692,-0.015468751348646583,85.97942368347776
n,number_concentration,210.0,0.007937080801192,5648.546070546253,5769.439229842339,-0.020954057141423402,120.8931592960862
n,number_concentration,210.0,0.0081941054043863,5830.483761864286,5933.068359712797,-0.017290311122165652,102.5845978485113
n,number_concentration,210.0,0.00850450579831,6050.164447291568,6158.482110660267,-0.017588370222136756,108.31766336869896
n,number_concentration,210.0,0.0087799051904701,6245.038654038426,6333.145024843984,-0.013911945875221538,88.10637080555807
n,number_concentration,210.0,0.0090642227757622,6446.189943095892,6573.758799840747,-0.019405770827482374,127.56885674485511
n,number_concentration,210.0,0.0093577473499173,6653.820529332839,6760.199524761184,-0.01573607332722961,106.37899542834475
n,number_concentration,210.0,0.0096607770606698,6868.139136353113,6951.927961775606,-0.012052602656873907,83.78882542249266
n,number_concentration,210.0,0.0106866376673664,7593.42774618762,7702.641338990674,-0.01417871973996972,109.21359280305387
n,number_concentration,210.0,0.0110327005177689,7838.012199680312,7995.28608386075,-0.019670826350780723,157.27388418043847
n,number_concentration,210.0,0.0114506295555044,8133.335824565284,8299.049215649173,-0.019967756158309015,165.71339108388838
n,number_concentration,210.0,0.0118214325738365,8395.311435010706,8534.42151923194,-0.016299884404321497,139.1100842212345
n,number_concentration,210.0,0.0122042432182766,8665.725622885837,8695.033409509557,-0.0033706353090796294,29.30778662371995
n,number_concentration,210.0,0.0125994503289303,8944.850220307806,8695.033409509557,0.02873097767801908,249.8168107982492
n,number_concentration,210.0,0.0143886937142461,10207.996206854099,10379.92778319914,-0.01656385091843589,171.93157634504132
n,number_concentration,210.0,0.0149337509201931,10592.620919536803,10774.29007844296,-0.016861357693500237,181.66915890615746
n,number_concentration,210.0,0.0154173470307288,10933.813818518087,11079.863573591068,-0.013181548139373493,146.0497550729815
n,number_concentration,210.0,0.0159166033192985,11285.997142293809,11500.818374157405,-0.018678777881259663,214.82123186359604
n,number_concentration,210.0,0.0164320269057295,11649.52487999274,11826.997198197636,-0.015005695463590896,177.4723182048965
n,number_concentration,210.0,0.01696414133179,12024.76246760406,12276.337680939,-0.020492692517374372,251.5752133349397
n,number_concentration,210.0,0.0176067589077303,12477.843592416357,12624.511285461544,-0.011617692735091462,146.66769304518675
n,number_concentration,210.0,0.0181769144013113,12879.762859751003,13104.151544127362,-0.017123480571843614,224.38868437635938
n,number_concentration,210.0,0.0187655331048768,13294.628683011684,13475.803073753512,-0.013444422551313217,181.17439074182766
n,number_concentration,210.0,0.0193732129081724,13722.858191363941,13987.786272617472,-0.01893995776673788,264.92808125353076
n,number_concentration,210.0,0.0201070883737048,14239.92447589944,14519.221135659362,-0.01923633899851328,279.2966597599225
n,number_concentration,210.0,0.020758211442764,14698.603788483748,14931.00596017681,-0.01556507125594302,232.40217169306197
n,number_concentration,210.0,0.0214304196755814,15172.05816534004,15498.276359715152,-0.021048675788428565,326.2181943751111
n,number_concentration,210.0,0.0221243958680091,15660.763470943246,15937.828519674587,-0.01738411530713335,277.06504873134145
n,number_concentration,210.0,0.0229624887230362,16250.851430143144,16543.350905523417,-0.017680787710464066,292.499475380273
n,number_concentration,210.0,0.0237060775436898,16774.3070147677,17012.54279852589,-0.014003537659216587,238.23578375819125
n,number_concentration,210.0,0.0244737458245826,17314.62423265493,17658.896565728333,-0.01949568772839148,344.2723330734043
n,number_concentration,210.0,0.0252662733251588,17872.34625325855,18159.7268482585,-0.015825160664655443,287.3805949999478
n,number_concentration,210.0,0.0260844650556274,18448.033816798878,18849.66532475457,-0.021307089597407538,401.63150795569163
n,number_concentration,210.0,0.027072569043675,19143.148837075547,19384.267426027323,-0.012438880647510347,241.11858895177647
n,number_concentration,210.0,0.0279492536195527,19759.771893065834,20120.72960123831,-0.017939593410681288,360.95770817247467
n,number_concentration,210.0,0.0288543276639119,20396.25792850955,20691.3808111479,-0.014263083035973545,295.12288263835217
n,number_concentration,210.0,0.0297887105061704,21053.246733832097,21477.50385543876,-0.019753558163102345,424.25712160666444
n,number_concentration,210.0,0.0309171347842674,21846.529134212105,22293.493898283545,-0.020049112360348894,446.9647640714393
n,number_concentration,210.0,0.0319183170197608,22550.23484272869,22925.767653673887,-0.016380381089878958,375.53281094519843
n,number_concentration,210.0,0.0329519203018895,23276.608694305676,23575.973551220915,-0.012697878892035667,299.3648569152392
n,number_concentration,210.0,0.0340189945137092,24026.380902409823,24471.69028802865,-0.018196919803151874,445.30938561882795
n,number_concentration,210.0,0.0353076659155064,24931.695092952064,25401.43779225532,-0.018492760258101502,469.7426993032568
n,number_concentration,210.0,0.03645102567824,25734.782093791848,26121.85705621191,-0.014818049175719428,387.07496242006164
n,number_concentration,210.0,0.0376314105887181,26563.738675082892,27114.298980653104,-0.020305164664705295,550.5603055702122
n,number_concentration,210.0,0.0388500196235099,27419.39827635129,27883.297313507133,-0.01663716568166142,463.89903715584296
n,number_concentration,210.0,0.0403216947850995,28452.566612708335,28942.66124716752,-0.016933295465604424,490.09463445918664
n,number_concentration,210.0,0.0416274226543059,29369.07066873381,29763.51441631319,-0.013252593160275116,394.44374757938203
n,number_concentration,210.0,0.0429754335991,30315.098035541112,30894.31302155374,-0.018748272072226728,579.2149860126265
n,number_concentration,210.0,0.0443670968622798,31291.59973869758,31770.517684827497,-0.015074288397844771,478.91794612991725
n,number_concentration,210.0,0.045803826026508,32299.557405514523,32977.56792033605,-0.02055974887109313,678.0105148215262
n,number_concentration,210.0,0.0475389178931847,33516.61862987743,34230.47734786335,-0.02085447745093987,713.8587179859242
n,number_concentration,210.0,0.0490783593848153,34596.250947922075,35201.30016102511,-0.017188263227076592,605.0492131030333
n,number_concentration,210.0,0.0506676522447811,35710.661497679146,36199.65682727857,-0.013508286333558293,488.99532959942735
n,number_concentration,210.0,0.0523084107981076,36860.97066820527,37574.98236437432,-0.019002316201910487,714.011696169051
n,number_concentration,210.0,0.0542899024333708,38249.91498636165,39002.56033971867,-0.019297331939271675,752.6453533570239
n,number_concentration,210.0,0.0560479594545739,39482.02162693044,40108.72590570611,-0.01562513554404664,626.7042787756727
n,number_concentration,210.0,0.0578629472189035,40753.818433055356,41632.56783773579,-0.021107259300108216,878.749404680435
n,number_concentration,210.0,0.059736709301098,42066.58410574032,42813.32398719396,-0.017441763729370684,746.7398814536355
n,number_concentration,210.0,0.061999591846988,43651.68696654248,44439.92111457807,-0.01773707352007467,788.2341480355899
n,number_concentration,210.0,0.0640073099100678,45057.80260676412,45700.29761458134,-0.01405888016826003,642.4950078172187
n,number_concentration,210.0,0.0660800434305197,46509.21410173481,47436.57889100631,-0.019549571468935007,927.3647892715016
n,number_concentration,210.0,0.0682198977884642,48007.38048161498,48781.94467418629,-0.015878091735469207,774.5641925713135
n,number_concentration,210.0,0.0708041314664494,49816.346415840504,50635.30628420706,-0.016173692398933584,818.9598683665536
n,number_concentration,210.0,0.0730969648456868,51421.04720252379,52071.3923192506,-0.012489489674858889,650.3451167268067
n,number_concentration,210.0,0.0754640465038884,53077.441035085765,54049.729184445154,-0.017988770046218867,972.2881493593886
n,number_concentration,210.0,0.0779077808054444,54787.19318813917,55582.65288878693,-0.014311294249293194,795.4597006477561
n,number_concentration,210.0,0.0804306499747057,56552.022942384545,57694.39229842333,-0.019800353388417655,1142.3693560387837
